indicator,jenis_kelamin,usia_bulan,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
tbu,L,0,1,49.9,0.0381,44.2,46.1,48,49.9,51.8,53.7,55.6
tbu,L,1,1,54.7,0.0356,48.9,50.8,52.8,54.7,56.7,58.6,60.6
tbu,L,2,1,58.4,0.0342,52.4,54.4,56.4,58.4,60.4,62.4,64.4
tbu,L,3,1,61.4,0.0334,55.3,57.3,59.4,61.4,63.5,65.5,67.6
tbu,L,4,1,63.9,0.0329,57.6,59.7,61.8,63.9,66,68,70.1
tbu,L,5,1,65.9,0.0319,59.6,61.7,63.8,65.9,68,70.1,72.2
tbu,L,6,1,67.6,0.0318,61.2,63.3,65.5,67.6,69.8,71.9,74
tbu,L,7,1,69.2,0.0311,62.7,64.8,67,69.2,71.3,73.5,75.7
tbu,L,8,1,70.6,0.0312,64,66.2,68.4,70.6,72.8,75,77.2
tbu,L,9,1,72,0.0313,65.2,67.5,69.7,72,74.2,76.5,78.7
tbu,L,10,1,73.3,0.0314,66.4,68.7,71,73.3,75.6,77.9,80.1
tbu,L,11,1,74.5,0.0315,67.6,69.9,72.2,74.5,76.9,79.2,81.5
tbu,L,12,1,75.7,0.031,68.6,71,73.4,75.7,78.1,80.5,82.9
tbu,L,13,1,76.9,0.0312,69.6,72.1,74.5,76.9,79.3,81.8,84.2
tbu,L,14,1,78,0.0314,70.6,73.1,75.6,78,80.5,83,85.5
tbu,L,15,1,79.1,0.0322,71.6,74.1,76.6,79.1,81.7,84.2,86.7
tbu,L,16,1,80.2,0.0324,72.5,75,77.6,80.2,82.8,85.4,88
tbu,L,17,1,81.2,0.0326,73.3,76,78.6,81.2,83.9,86.5,89.2
tbu,L,18,1,82.3,0.0328,74.2,76.9,79.6,82.3,85,87.7,90.4
tbu,L,19,1,83.2,0.0331,75,77.7,80.5,83.2,86,88.8,91.5
tbu,L,20,1,84.2,0.0333,75.8,78.6,81.4,84.2,87,89.8,92.6
tbu,L,21,1,85.1,0.0335,76.5,79.4,82.3,85.1,88,90.9,93.8
tbu,L,22,1,86,0.0343,77.2,80.2,83.1,86,89,91.9,94.9
tbu,L,23,1,86.9,0.0345,78,81,83.9,86.9,89.9,92.9,95.9
tbu,L,24,1,87.1,0.035,78,81,84.1,87.1,90.2,93.2,96.3
tbu,L,25,1,88,0.0352,78.6,81.7,84.9,88,91.1,94.2,97.3
tbu,L,26,1,88.8,0.036,79.3,82.5,85.6,88.8,92,95.2,98.3
tbu,L,27,1,89.6,0.0363,79.9,83.1,86.4,89.6,92.9,96.1,99.3
tbu,L,28,1,90.4,0.0365,80.5,83.8,87.1,90.4,93.7,97,100.3
tbu,L,29,1,91.2,0.0367,81.1,84.5,87.8,91.2,94.5,97.9,101.2
tbu,L,30,1,91.9,0.037,81.7,85.1,88.5,91.9,95.3,98.7,102.1
tbu,L,31,1,92.7,0.0372,82.3,85.7,89.2,92.7,96.1,99.6,103
tbu,L,32,1,93.4,0.0375,82.8,86.4,89.9,93.4,96.9,100.4,103.9
tbu,L,33,1,94.1,0.0377,83.4,86.9,90.5,94.1,97.6,101.2,104.8
tbu,L,34,1,94.8,0.0385,83.9,87.5,91.1,94.8,98.4,102,105.6
tbu,L,35,1,95.4,0.0383,84.4,88.1,91.8,95.4,99.1,102.7,106.4
tbu,L,36,1,96.1,0.0385,85,88.7,92.4,96.1,99.8,103.5,107.2
tbu,L,37,1,96.7,0.0388,85.5,89.2,93,96.7,100.5,104.2,108
tbu,L,38,1,97.4,0.039,86,89.8,93.6,97.4,101.2,105,108.8
tbu,L,39,1,98,0.0388,86.5,90.3,94.2,98,101.8,105.7,109.5
tbu,L,40,1,98.6,0.0396,87,90.9,94.7,98.6,102.5,106.4,110.3
